iter	F1	Logloss
0	0.6352183206	0.6539607003
1	0.6594305448	0.636148631
2	0.659224348	0.6291747948
3	0.6774155724	0.6191043206
4	0.676407865	0.6188926043
5	0.6722221315	0.6126356676
6	0.6633257397	0.6078211536
7	0.6651378979	0.6072577905
8	0.6651911508	0.6070332348
9	0.6637916466	0.6047593161
10	0.6811305504	0.6022253895
11	0.6816111147	0.6006334931
12	0.7039369204	0.5944305204
13	0.7039369204	0.5944297922
14	0.7047925196	0.5933272118
15	0.7047925196	0.5933262153
16	0.7040109727	0.593034703
17	0.6961477137	0.5926776138
18	0.6960950378	0.5926377158
19	0.7029735099	0.5922657176
20	0.7029845243	0.5921876079
21	0.7029845243	0.592187378
22	0.7033618077	0.5915909773
23	0.7028687599	0.591236456
24	0.7053949553	0.5886173294
25	0.7060307047	0.5879124261
26	0.7064573081	0.5866114288
27	0.7049264946	0.5848080461
28	0.7049264946	0.584785395
29	0.7049264946	0.5846945993
30	0.7049791292	0.5846791153
31	0.705611358	0.58425231
32	0.705611358	0.584244683
33	0.7072501367	0.5839151507
34	0.7059365419	0.5838061114
35	0.7071977694	0.5838028153
36	0.7066585791	0.5835508178
37	0.7083117291	0.5833621741
38	0.7077700036	0.5831459736
39	0.7078228014	0.5831345523
40	0.7064478627	0.5824243216
41	0.7078544142	0.5814031853
42	0.7079073554	0.5812600353
43	0.7079073554	0.5812327085
44	0.7079073554	0.5812325168
45	0.7081721806	0.5806429767
46	0.7082251695	0.5805903159
47	0.7081721806	0.5805741037
48	0.7082251695	0.5805440173
49	0.7082251695	0.5804598137
50	0.7082251695	0.5804595071
51	0.7082251695	0.5804247832
52	0.7080063025	0.5801852035
53	0.7078932545	0.5800211655
54	0.7078932545	0.5799050741
55	0.7078932545	0.5798943427
56	0.7079462892	0.5797894427
57	0.7079462892	0.579789481
58	0.708543269	0.5794493322
59	0.7110940174	0.5788096225
60	0.7108247695	0.5788075912
