iter	Passed	Remaining
0	3	1824
1	7	1857
2	10	1780
3	14	1759
4	17	1777
5	30	2519
6	33	2381
7	37	2293
8	40	2232
9	44	2177
10	48	2145
11	51	2103
12	55	2071
13	59	2052
14	62	2027
15	66	2002
16	69	1987
17	73	1974
18	77	1957
19	80	1938
20	84	1917
21	87	1910
22	91	1898
23	95	1885
24	98	1877
25	102	1867
26	106	1859
27	110	1857
28	114	1853
29	118	1848
30	121	1842
31	126	1853
32	130	1845
33	134	1843
34	138	1834
35	141	1827
36	145	1818
37	148	1806
38	152	1797
39	155	1789
40	159	1782
41	162	1775
42	166	1765
43	169	1761
44	173	1755
45	177	1748
46	181	1744
47	184	1738
48	188	1730
49	191	1724
50	195	1717
51	198	1711
52	202	1707
53	205	1698
54	208	1690
55	212	1682
56	215	1678
57	219	1672
58	222	1663
59	226	1657
60	229	1651
61	233	1647
62	236	1640
63	239	1634
64	243	1629
65	247	1625
66	250	1618
67	253	1612
68	257	1607
69	260	1601
70	264	1596
71	267	1590
72	271	1585
73	273	1577
74	277	1571
75	281	1568
76	284	1564
77	288	1559
78	291	1554
79	295	1549
80	298	1545
81	302	1540
82	305	1535
83	309	1531
84	312	1527
85	316	1522
86	319	1515
87	322	1510
88	325	1503
89	328	1498
90	332	1494
91	335	1489
92	339	1485
93	343	1482
94	346	1477
95	350	1473
96	353	1468
97	357	1464
98	360	1460
99	363	1455
100	367	1451
101	370	1446
102	374	1443
103	377	1438
104	381	1433
105	384	1429
106	387	1425
107	391	1420
108	395	1417
109	398	1413
110	402	1409
111	405	1403
112	408	1399
113	412	1395
114	415	1391
115	419	1388
116	423	1384
117	426	1381
118	430	1377
119	433	1373
120	437	1369
121	440	1366
122	444	1361
123	447	1356
124	451	1353
125	454	1349
126	458	1345
127	461	1341
128	465	1338
129	469	1335
130	472	1331
131	476	1327
132	479	1322
133	482	1319
134	486	1315
135	490	1313
136	494	1310
137	497	1306
138	501	1302
139	505	1298
140	509	1296
141	512	1292
142	515	1286
143	518	1282
144	522	1278
145	525	1275
146	529	1271
147	533	1268
148	536	1264
149	540	1260
150	544	1257
151	547	1253
152	550	1249
153	554	1246
154	558	1242
155	561	1238
156	565	1234
157	569	1232
158	572	1226
159	575	1223
160	579	1219
161	582	1215
162	586	1212
163	589	1208
164	593	1204
165	596	1200
166	600	1197
167	604	1193
168	607	1189
169	611	1186
170	614	1183
171	618	1179
172	621	1175
173	625	1171
174	629	1168
175	633	1165
176	636	1162
177	640	1158
178	644	1154
179	648	1152
180	651	1148
181	655	1145
182	659	1141
183	662	1138
184	666	1135
185	670	1131
186	673	1127
187	677	1124
188	681	1120
189	684	1117
190	688	1114
191	692	1110
192	695	1106
193	699	1103
194	703	1100
195	707	1097
196	711	1093
197	714	1089
198	718	1086
199	722	1083
200	726	1080
201	729	1076
202	733	1072
203	736	1068
204	740	1065
205	744	1061
206	747	1058
207	751	1054
208	754	1050
209	758	1047
210	761	1043
211	765	1039
212	768	1035
213	772	1032
214	776	1028
215	780	1025
216	783	1022
217	787	1018
218	791	1014
219	794	1011
220	797	1007
221	801	1003
222	804	999
223	808	996
224	811	992
225	815	988
226	818	984
227	822	981
228	826	977
229	829	973
230	832	969
231	836	966
232	840	963
233	844	960
234	848	957
235	853	954
236	858	952
237	863	950
238	867	947
239	871	944
240	875	941
241	880	938
242	884	935
243	888	932
244	892	928
245	896	925
246	901	923
247	905	919
248	911	918
249	918	918
250	923	915
251	927	913
252	932	910
253	936	907
254	940	903
255	944	899
256	947	896
257	951	892
258	955	889
259	959	885
260	963	882
261	966	878
262	970	874
263	974	871
264	978	867
265	981	863
266	985	860
267	989	856
268	993	853
269	997	849
270	1000	845
271	1005	842
